Inv_Id,Vendor_Code,GL_Code,Inv_Amt,Item_Description,Product_Category
15001,VENDOR-1676,GL-6100410,83.24,Artworking/Typesetting Production Jun 2009 Champion Parts Inc SMAP Prototype and Comp Production/Packaging Design,CLASS-1963
15002,VENDOR-1883,GL-2182000,51.18,Auto Leasing Corporate Services Corning Inc /Ny 2013-Mar  Auto Leasing and Maintenance Other Corporate Services,CLASS-1250
15004,VENDOR-1999,GL-6050100,79.02,Store Management Lease/Rent Deltona Corp Real Estate Base Rent Jul2018,CLASS-1274
15005,VENDOR-1771,GL-6101400,48.5,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean Up 2005-Dec ,CLASS-1522
15006,VENDOR-1331,GL-2182000,63.35,Jul 2015 Aydin Corp Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,CLASS-1376
15007,VENDOR-2076,GL-6101400,32.28,Final Site Clean Up 2018Mar Store Construction Dravo Corp General Contractor General Requirements,CLASS-1522
15009,VENDOR-1802,GL-6050310,5.38,Travel and Entertainment Miscellaneous Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only) 2011-Mar ,CLASS-1758
15010,VENDOR-1191,GL-6101400,31.21,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co Apr2014 Store Construction,CLASS-1522
15011,VENDOR-2120,GL-6100410,42.89,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul 2007 Artworking/Typesetting Production SMAP,CLASS-1963
15012,VENDOR-1704,GL-6050100,59.5,Base Rent Store Management Chicago Rivet & Machine Co Dec-2017 Lease/Rent Real Estate,CLASS-1274
15014,VENDOR-2513,GL-6050310,69.85,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2003May Fortune National Corp,CLASS-1758
15015,VENDOR-1433,GL-6050100,85.64,Base Rent Store Management Bio Rad Laboratories Inc Jul2015 Lease/Rent Real Estate,CLASS-1274
15016,VENDOR-1098,GL-6050100,35.64,Real Estate Lease/Rent Base Rent Allegheny Energy Inc Oct 2016 Store Management,CLASS-1274
15017,VENDOR-2352,GL-2182000,43,"First Options Of Chicago, Inc. 2017-Jan  SMAP Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show",CLASS-2141
15018,VENDOR-1700,GL-6101400,93.67,Chesapeake Shores Beach & Country Club I 2012May Store Construction General Contractor General Requirements Final Site Clean Up,CLASS-1522
15021,VENDOR-1065,GL-6050310,35.73,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Sep2012 Akorn Inc,CLASS-1758
15023,VENDOR-1370,GL-6101400,94.67,Final Site Clean Up 2007Nov Store Construction Banner Life Insurance Co General Contractor General Requirements,CLASS-1522
15025,VENDOR-1376,GL-6050310,21.23,Miscellaneous Company Car (Field Only) Oct2018 Travel and Entertainment Barnes Group Inc Ground Transportation Miscellaneous Company Car (Field Only),CLASS-1758
15030,VENDOR-2160,GL-6100410,9.03,SMAP Artworking/Typesetting Electro Catheter Corp Production Prototype and Comp Production/Packaging Design 2000-Oct ,CLASS-1963
15032,VENDOR-1114,GL-6050310,68.92,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Allis Chalmers Corp 2014-Mar  Travel and Entertainment,CLASS-1758
15033,VENDOR-1424,GL-6100410,78.78,SMAP Digital Display Production Digital/Social Nov2011 Beverly Hills Bancorp,CLASS-1429
15035,VENDOR-2478,GL-6060100,10.7,Flightsafety International Inc Final Site Clean Up 2011Dec General Requirements General Contractor Facility Construction,CLASS-1522
15036,VENDOR-2353,GL-6050100,21.01,2008-Nov  First Real Estate Investment Trust Of New Jersey Base Rent Lease/Rent Store Management Real Estate,CLASS-1274
15038,VENDOR-1312,GL-6060100,85.1,Information Technology IT Managed Services Atwood Oceanics Inc Qualified Stock Option Plans Managed Services IT Managed Services Aug 2010,CLASS-1652
15040,VENDOR-2408,GL-6050310,29.76,Fort Howard Corp Oct2011 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),CLASS-1758
15041,VENDOR-1181,GL-6050100,88.8,Base Rent Store Management Aig Equity Sales Corp. Feb-2003 Lease/Rent Real Estate,CLASS-1274
15042,VENDOR-1944,GL-2182000,94.48,Daly John J Auto Fleet Repair and Maintenance Mar 2014 Auto Leasing and Maintenance Other Corporate Services Corporate Services,CLASS-1249
15046,VENDOR-1883,GL-2182000,74.68,Jul 2019 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,CLASS-1250
15047,VENDOR-1080,GL-6050310,8.5,Travel and Entertainment Miscellaneous Company Car (Field Only) Alco Standard Corp Ground Transportation Miscellaneous Company Car (Field Only) 2013Oct,CLASS-1758
15048,VENDOR-1873,GL-6050310,26.75,Miscellaneous Company Car (Field Only) Mar 2019 Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only),CLASS-1758
15049,VENDOR-2333,GL-6050100,47.31,Real Estate Lease/Rent Base Rent Bancwest Corp/Hi 2011-May  Store Management,CLASS-1274
15051,VENDOR-1771,GL-6101400,56.83,Colonial Trust Iii Nov-2012 Store Construction General Contractor General Requirements Final Site Clean Up,CLASS-1522
15052,VENDOR-1513,GL-6050310,61.14,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ 2016-Oct  Travel and Entertainment,CLASS-1758
15053,VENDOR-1883,GL-2182000,22.2,Auto Leasing and Maintenance Other Corporate Services Apr2004 Corning Inc /Ny Corporate Services Auto Leasing,CLASS-1250
15055,VENDOR-1429,GL-2182000,54.69,Flanigans Enterprises Inc Contingent Labor/Temp Labor Nov-2004 Contingent Labor/Temp Labor Human Resources Corporate Services,CLASS-1376
15058,VENDOR-1883,GL-2182000,18.88,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance May-2016 Corning Inc /Ny,CLASS-1250
15060,VENDOR-1624,GL-6101400,91.14,Store Construction Final Site Clean Up General Contractor General Requirements 2017Dec Cascade Natural Gas Corp,CLASS-1522
15061,VENDOR-2513,GL-6050310,42.6,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fortune National Corp 2012Jul Travel and Entertainment,CLASS-1758
15062,VENDOR-1062,GL-6050310,11.77,Air Products & Chemicals Inc /De/ Miscellaneous Company Car (Field Only) Apr 2001 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,CLASS-1758
15064,VENDOR-2051,GL-6101400,45.66,General Contractor Store Construction General Requirements Final Site Clean Up Jun 2009 Dollar General Corp,CLASS-1522
15066,VENDOR-1041,GL-6050100,36.65,Store Management Lease/Rent Advance Ross Corp Real Estate Base Rent 2011-Sep ,CLASS-1274
